Sales_Month,Monthly_Revenue
2022-01,48143.95
2022-02,46257.35
2022-03,53541.25
2022-04,49505.25
2022-05,58326.64
2022-06,48683.24
2022-07,57545.77
2022-08,48656.98
2022-09,42839.10
2022-10,49508.42
2022-11,44519.86
2022-12,50885.58
2023-01,70589.71
2023-02,74547.62
2023-03,71490.80
2023-04,71671.43
2023-05,76942.62
2023-06,75958.75
2023-07,74438.54
2023-08,71626.47
2023-09,86388.39
2023-10,76570.52
2023-11,81150.82
2023-12,85799.00
2024-01,83362.33
2024-02,65035.27
2024-03,73851.01
2024-04,74763.04
2024-05,78325.77
2024-06,72071.52
2024-07,71626.47
2024-08,90013.08
2024-09,72945.83
2024-10,83388.68
2024-11,83561.14
2024-12,70589.71
2025-01,118654.88
2025-02,105056.57
2025-03,108664.43
2025-04,117732.51
2025-05,125169.68
2025-06,101328.59
2025-07,137940.05
2025-08,129936.53
2025-09,106935.33
2025-10,188215.96
2025-11,133022.84
2025-12,122408.27
