Sales_Month,Category,Total_Transactions,Average_Transaction_Size,Total_Revenue
2022-01,"Technology & Accessories",75,435.449200,32658.69
2022-01,Textbooks,61,168.644426,10287.31
2022-01,"Art Supplies",63,31.660000,1994.58
2022-01,"Apparel and Merchandise",66,30.010455,1980.69
2022-01,"Stationery and Supplies",69,9.704058,669.58
2022-01,"Books (General)",20,27.655000,553.10
2022-02,"Technology & Accessories",78,420.103846,32768.10
2022-02,Textbooks,46,169.154348,7781.10
2022-02,"Apparel and Merchandise",61,33.124262,2020.58
2022-02,"Art Supplies",61,30.586393,1865.77
2022-02,"Books (General)",36,27.370000,985.32
2022-02,"Stationery and Supplies",72,11.617778,836.48
2022-03,"Technology & Accessories",77,478.656623,36856.56
2022-03,Textbooks,68,177.760000,12087.68
2022-03,"Art Supplies",60,30.407000,1824.42
2022-03,"Apparel and Merchandise",53,31.456038,1667.17
2022-03,"Stationery and Supplies",62,9.971452,618.23
2022-03,"Books (General)",20,24.359500,487.19
2022-04,"Technology & Accessories",80,408.738250,32699.06
2022-04,Textbooks,65,184.264462,11977.19
2022-04,"Art Supplies",61,29.305738,1787.65
2022-04,"Apparel and Merchandise",59,29.155085,1720.15
2022-04,"Stationery and Supplies",71,9.829859,697.92
2022-04,"Books (General)",21,29.680000,623.28
2022-05,"Technology & Accessories",81,457.036914,37019.99
2022-05,Textbooks,85,185.305294,15750.95
2022-05,"Apparel and Merchandise",63,32.503651,2047.73
2022-05,"Art Supplies",67,29.019104,1944.28
2022-05,"Books (General)",29,27.174138,788.05
2022-05,"Stationery and Supplies",78,9.944103,775.64
2022-06,"Technology & Accessories",77,388.177792,29889.69
2022-06,Textbooks,73,181.930411,13280.92
2022-06,"Art Supplies",76,28.497632,2165.82
2022-06,"Apparel and Merchandise",63,34.309048,2161.47
2022-06,"Books (General)",25,23.934800,598.37
2022-06,"Stationery and Supplies",60,9.782833,586.97
2022-07,"Technology & Accessories",84,471.226071,39582.99
2022-07,Textbooks,73,183.663836,13407.46
2022-07,"Apparel and Merchandise",52,30.252500,1573.13
2022-07,"Art Supplies",52,27.906538,1451.14
2022-07,"Books (General)",33,23.261515,767.63
2022-07,"Stationery and Supplies",73,10.457808,763.42
2022-08,"Technology & Accessories",65,466.497846,30322.36
2022-08,Textbooks,71,188.966197,13416.60
2022-08,"Apparel and Merchandise",60,32.794500,1967.67
2022-08,"Art Supplies",48,29.458125,1413.99
2022-08,"Books (General)",33,26.772424,883.49
2022-08,"Stationery and Supplies",69,9.461884,652.87
2022-09,"Technology & Accessories",65,350.954000,22812.01
2022-09,Textbooks,81,188.438519,15263.52
2022-09,"Apparel and Merchandise",63,30.616984,1928.87
2022-09,"Art Supplies",55,26.941091,1481.76
2022-09,"Books (General)",28,26.572143,744.02
2022-09,"Stationery and Supplies",56,10.873571,608.92
2022-10,"Technology & Accessories",72,432.541944,31143.02
2022-10,Textbooks,72,190.625833,13725.06
2022-10,"Art Supplies",58,29.025000,1683.45
2022-10,"Apparel and Merchandise",50,31.027200,1551.36
2022-10,"Books (General)",29,27.247586,790.18
2022-10,"Stationery and Supplies",67,9.184328,615.35
2022-11,"Technology & Accessories",64,427.309219,27347.79
2022-11,Textbooks,68,190.858235,12978.36
2022-11,"Apparel and Merchandise",53,27.844151,1475.74
2022-11,"Art Supplies",50,27.888200,1394.41
2022-11,"Stationery and Supplies",69,10.131449,699.07
2022-11,"Books (General)",26,24.018846,624.49
2022-12,"Technology & Accessories",77,433.839351,33405.63
2022-12,Textbooks,66,179.496364,11846.76
2022-12,"Apparel and Merchandise",72,30.965000,2229.48
2022-12,"Art Supplies",68,27.675441,1881.93
2022-12,"Books (General)",23,37.113913,853.62
2022-12,"Stationery and Supplies",65,10.279385,668.16
2023-01,"Technology & Accessories",110,447.188818,49190.77
2023-01,Textbooks,71,172.512535,12248.39
2023-01,"Apparel and Merchandise",103,34.370777,3540.19
2023-01,"Art Supplies",96,34.249375,3287.94
2023-01,"Books (General)",41,29.594878,1213.39
2023-01,"Stationery and Supplies",110,10.082091,1109.03
2023-02,"Technology & Accessories",113,470.021239,53112.40
2023-02,Textbooks,74,173.922973,12870.30
2023-02,"Apparel and Merchandise",108,34.614074,3738.32
2023-02,"Art Supplies",82,31.107073,2550.78
2023-02,"Books (General)",35,33.947429,1188.16
2023-02,"Stationery and Supplies",109,9.978532,1087.66
2023-03,"Technology & Accessories",120,442.573667,53108.84
2023-03,Textbooks,63,161.726349,10188.76
2023-03,"Apparel and Merchandise",99,35.966566,3560.69
2023-03,"Art Supplies",75,31.812133,2385.91
2023-03,"Books (General)",45,26.637778,1198.70
2023-03,"Stationery and Supplies",103,10.173786,1047.90
2023-04,"Technology & Accessories",121,396.996942,48036.63
2023-04,Textbooks,86,168.600698,14499.66
2023-04,"Apparel and Merchandise",120,34.265083,4111.81
2023-04,"Art Supplies",70,33.374286,2336.20
2023-04,"Books (General)",55,29.227455,1607.51
2023-04,"Stationery and Supplies",115,9.388000,1079.62
2023-05,"Technology & Accessories",120,470.174167,56420.90
2023-05,Textbooks,72,168.733056,12148.78
