Store_City,Store_ID,Total_Revenue,Total_Transactions,Average_Transaction_Size
Miami,724,618846.25,4457,138.848160
Tallahassee,728,541670.66,4320,125.386727
"Key West",722,332620.43,2228,149.291037
"Cape Canaveral",719,331956.13,2241,148.128572
Jacksonville,721,331667.08,2280,145.468018
Sebring,727,330848.14,2235,148.030488
Tampa,729,308979.01,2226,138.804587
"Fort Lauderdale",720,302270.07,2277,132.749262
Orlando,726,297891.71,2271,131.172043
Lakeland,723,273835.24,2144,127.721660
Naples,725,259602.83,1937,134.023144
